% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	1	3	7	1	0	85
0.027	1	1	3	8	1	0	85
0.028	1	1	3	9	1	0	85
0.029	1	1	3	10	1	0	85
0.03	1	1	4	1	1	0	85
0.031	1	1	4	2	1	0	85
0.032	1	1	4	3	1	0	85
0.033	1	1	4	4	1	0	85
0.034	1	1	4	5	1	0	85
0.035	1	1	4	6	1	0	85
0.036	1	1	4	7	1	0	85
0.037	1	1	4	8	1	0	85
0.038	1	1	4	9	1	0	85
0.039	1	1	4	10	1	0	85
0.04	1	1	5	1	1	0	85
0.041	1	1	5	2	1	0	85
0.042	1	1	5	3	1	0	85
0.043	1	1	5	4	1	0	85
0.044	1	1	5	5	1	0	85
0.045	1	1	5	6	1	0	85
0.046	1	1	5	7	1	0	85
0.047	1	1	5	8	1	0	85
0.048	1	1	5	9	1	0	85
0.049	1	1	5	10	1	0	85
0.05	1	1	6	1	1	0	85
0.051	1	1	6	2	1	0	85
0.052	1	1	6	3	1	0	85
0.053	1	1	6	4	1	0	85
0.054	1	1	6	5	1	0	85
0.055	1	1	6	6	1	0	85
0.056	1	1	6	7	1	0	85
0.057	1	1	6	8	1	0	85
0.058	1	1	6	9	1	0	85
0.059	1	1	6	10	1	0	85
0.06	1	1	7	1	1	0	85
1.039	1	1	104	10	1	0	85
1.04	1	1	105	1	1	0	85
1.041	1	1	105	2	1	0	85
1.042	1	1	105	3	1	0	85
1.043	1	1	105	4	1	0	85
1.044	1	1	105	5	1	0	85
1.045	1	1	105	6	1	0	85
1.052	1	1	106	3	1	0	85
